Week,Building,Floor,Space Type,Space Name,Capacity,Avg. Occupancy,Avg Utilization,Avg Hours Used (HH:MM)
"January 1, 2024",Calgary Building 1,3,Desks,E331B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E331C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E331D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E331E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E331F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E332A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E336A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E336B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E336C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E336D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E337C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E350A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E350B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E350C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E350D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E350E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E350F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E350G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E350H,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E351A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E351B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E351C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E351D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E351E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E351G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E358A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E358C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E358E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E358F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E358G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E358H,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E359C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E359D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E362G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E363A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E363B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E363C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E363D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E363F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E363G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E363H,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E364A,1,0.00%,0.00%,0:00
